                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3357,                 2.7389,                 1.7603,                0.12341,                0.14014,                0.06021,                0.02151,                 2.1349,                 5.3943,                 1.5369,                0.07002,              0.0033312,              0.0033312
                      1,                 2.2689,                 2.3573,                 1.6245,                0.22903,                0.18792,                0.11193,                  0.042,                 1.9184,                 3.8299,                 1.3646,                0.03782,              0.0044652,              0.0044652
                      2,                 2.2123,                 2.2639,                 1.5761,                0.22607,                 0.2076,                0.13221,                0.05132,                  1.899,                 4.2382,                 1.3146,               0.003421,              0.0033993,              0.0033993
