                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9909,                  2.702,                 1.7624,                0.33401,                0.31659,                 0.2419,                0.10464,                 1.9708,                 2.3638,                 1.7273,               0.070028,              0.0033302,              0.0033302
                      1,                 1.8944,                 2.2159,                 1.6421,                0.40069,                0.34146,                0.29632,                0.13235,                 1.9512,                 2.1693,                 1.6828,               0.037829,              0.0044646,              0.0044646
                      2,                  1.859,                    2.1,                 1.6117,                0.42026,                0.35597,                0.32445,                0.14556,                 1.9335,                 2.1275,                  1.687,              0.0034302,              0.0033989,              0.0033989
